S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3
52.5,101.625,62.625,45.0,154.125,727.125,36.0,79.75,537.75,355.375,26.0,138.5,210.375,14.625,51.75,24.75,27.75,155.625,160084.66003460207,90.65,540.0833333333334,29.71875
54.45,111.9,66.0,42.45,163.2,751.8,36.9,77.35,537.3,355.6,26.5,138.45,209.1,14.85,52.35,27.0,29.7,158.5235294117647,166366.14705882352,92.63,548.2333333333333,30.975
56.4,122.175,69.375,39.900000000000006,172.27499999999998,776.475,37.8,74.95,536.85,355.825,27.0,138.4,207.825,15.075,52.95,29.25,31.65,161.42205882352943,172647.63408304498,94.61,556.3833333333333,32.23125
58.35,132.45,72.75,37.35,181.35,801.15,38.7,72.55,536.4,356.05,27.5,138.35,206.55,15.3,53.55,31.5,33.6,164.3205882352941,178929.12110726643,96.59,564.5333333333333,33.4875
60.3,142.72500000000002,76.125,34.8,190.425,825.825,39.6,70.15,535.95,356.275,28.0,138.3,205.275,15.525,54.15,33.75,35.55,167.21911764705882,185210.60813148788,98.57,572.6833333333334,34.74375
62.25,153.0,79.5,32.25,199.5,850.5,40.5,67.75,535.5,356.5,28.5,138.25,204.0,15.75,54.75,36.0,37.5,170.11764705882354,191492.09515570934,100.55,580.8333333333334,36.0
72.9,154.125,82.2,39.375,217.575,807.3,40.15,73.575,540.675,359.325,31.75,139.525,199.8,15.45,56.25,34.725,38.25,170.76176470588234,183099.85570934255,105.0975,569.1,36.16875
83.55,155.25,84.9,46.5,235.65,764.1,39.8,79.4,545.85,362.15,35.0,140.8,195.6,15.15,57.75,33.45,39.0,171.40588235294118,174707.6162629758,109.645,557.3666666666667,36.3375
94.2,156.375,87.6,53.625,253.725,720.9,39.45,85.225,551.025,364.975,38.25,142.075,191.4,14.85,59.25,32.175,39.75,172.05,166315.376816609,114.1925,545.6333333333333,36.50625
104.85,157.5,90.3,60.75,271.8,677.7,39.1,91.05,556.2,367.8,41.5,143.35,187.2,14.55,60.75,30.9,40.5,172.69411764705882,157923.1373702422,118.74000000000001,533.9,36.675
115.5,158.625,93.0,67.875,289.875,634.5,38.75,96.875,561.375,370.625,44.75,144.625,183.0,14.25,62.25,29.625,41.25,173.33823529411762,149530.89792387543,123.2875,522.1666666666667,36.84375
